Use Case Type;Packet Loss Budget;Latency Budget (ns);Jitter Budget (ns);Data Rate Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (ns);Slice Packet Loss;Slice Jitter (ns);Slice Type;Slice Handover
V2X;1,00E-09;1000000;0;0;yes;no;7669.741548531874;1214184.272100286;0.000542640978116564;2795268.8993413695;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;2526.354905112078;2773973.382998885;0.00042925292602632266;3642339.0977700087;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;3882.7799979327274;998646.477185308;0.0003578290658946985;1871603.6768576717;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5863.319246030561;1449846.514330834;0.0004369462658404005;1470055.2908864147;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3523.7724944965676;1306069.9083346599;0.0005644787125436377;2430193.219062615;feMBB;yes
Smart City;0.0;0;0;0;no;yes;7274.571209544996;1611696.233964807;0.0006202637358420967;1972491.1461625185;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;6765.150626882492;2204053.5400072928;0.0006553442958650887;1907093.9101498816;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2692.458761301393;2452282.974353549;0.0003586599147660509;2127751.0943432716;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;3762.193676464967;1945637.7666608454;0.000820836548398213;2293311.3078896785;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;6283.433063588063;1148259.367577231;0.0003821708834119944;3347964.2476722235;feMBB;yes
Smart City;0.0;0;0;0;no;yes;6218.143894678422;666340.2583649936;0.0004621491458816511;1107177.1877244597;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;8697.530318832514;2564248.457093166;0.0006983081976165358;3288778.911095925;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3534.1763046184387;2481723.5869246684;0.00022224061823234928;1854893.7189235308;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;7432.286529480073;2713916.1698705475;0.0005217500736146316;2597684.8009315943;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;3477.462411051511;1911701.0639482955;0.00045199457768202065;2101243.2172329375;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;5834.28483393771;2445437.1351810847;0.00026748677099846325;2014877.554235222;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6487.5886788588805;1573636.7663595036;0.0002699588531915571;2129952.618192558;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;11.165495238089534;2320395.601496415;0.0006870287578937443;1471484.9108187049;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;6519.0252957549565;1680215.2858376033;0.0005860150163293702;3069678.09892614;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;7307.8853901338025;1457165.6649883636;0.0006580561782844241;2375199.359338929;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;6826.786942163992;2154665.2786031202;0.0003266980113682767;2256075.9032054935;feMBB;yes
Smart City;0.0;0;0;0;no;yes;8422.389126994449;2119847.2657718267;0.0005479624384621035;1793719.5621691088;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;6608.967942962567;2607741.323399938;0.000876253473854192;1076945.6876681892;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4105.247698596035;1143623.8914468351;0.00046048661451869;2453613.033289043;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;7065.31205550306;2618077.0511513604;0.0005083975858583175;2492277.115516252;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4010.6551934544004;2086595.258546697;0.0005018534120817791;2396440.061080501;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5137.849471922473;2711973.139830801;0.0004817764409760623;2060977.4261731673;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6386.6668251231595;2705090.5370551804;0.0003700968526646275;1851578.2372222305;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5747.2266934404915;377641.3901765966;0.0005073058611053321;2824327.355249798;mURLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;7252.161464418297;2699089.092167234;0.0007712855310221395;2314749.5353908157;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;9147.876380615307;2728713.157766321;0.0004916003863411715;2188183.2013213383;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;3105.0829907379925;1161124.6863989136;0.0007035061959090909;1024044.5119798311;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4453.327858003656;958747.8028983327;0.0009760312384358219;777928.4109469897;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;5527.744541210089;2516483.0008630725;0.0003643966978357833;3549809.5715956343;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4228.592292979316;2075741.3062147587;0.000590045967640777;2551847.3632419044;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4874.335503548252;1571721.305482679;0.00030594344878213015;2864491.6887347596;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6293.403373857402;2959188.9200316686;0.0004765559553434882;920669.9463625101;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6071.906734222717;2201694.105613031;0.0009158368267854643;2662005.59046807;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5412.679995054756;609387.0424082424;0.0006078259621773556;1810616.2646206461;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5246.6928836898405;1321610.1488448302;0.0005510675356544616;2074251.5061822704;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;4627.420420866389;2694892.1495454703;0.0003028774415673298;2360237.5061512296;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;7341.137311939622;2023867.1058931062;0.00039916588081441516;2119962.2142463387;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;7772.537496182231;1520178.2646274962;0.0003607517378539754;2116073.4907949893;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;6698.353537013516;2301657.239427105;0.0003283736518724182;1412243.3297528576;umMTC;no
Smart Home;0.0;0;0;0;no;yes;3085.063916321387;1594865.9888608302;0.0006381343393888155;2407926.8785666227;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;4563.526318347553;1168602.018962771;0.0006149667132042097;1405860.4816720383;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5333.243321961512;2677807.8122187983;0.0004725285934709228;1449730.6818812643;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3432.832569217596;2778354.4488657834;0.00040893027441282856;2069150.9107456398;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5132.292993930759;2320757.1219233624;0.0006210388278326725;1159055.835711053;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5037.532617258316;976932.2005332151;0.0007807558717327948;2783708.670215008;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;6807.21626794962;3233450.617600536;0.0006652246588894997;2787427.95505728;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4170.09898227556;3210692.1082356824;0.0005182263118669829;1716377.0394615992;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6939.144263308113;2848697.6107041603;0.0006536831460987984;1832753.163519902;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3405.046167723717;2202501.9894728744;0.0006613567255037686;2023744.147625733;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3637.5709770973535;2060716.740733088;0.0005254578988856123;688034.4374057853;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4368.292714164643;2291524.086835649;0.0005252987795240139;1018922.1126012981;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5080.278499126903;1238936.4856813422;0.00041202215252098635;2480875.0648698276;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;973.3820830625709;1636676.4197460758;0.0006381038685437268;2259807.783021972;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;5765.91939275733;1609163.862530075;0.00047190801459306514;1759006.3340572808;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;7849.119329154295;2404779.710935209;0.0003367971379663613;1708732.1499555781;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6085.8407350342595;2164711.1617939477;0.00034256801947776913;2473781.334825337;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;4649.418566979197;1361142.5243737376;0.000493271514622238;744579.2876759865;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;3193.028961397724;938267.8363371864;0.00034245096872969564;3254155.468960668;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;1979.098444124269;2237081.677303322;0.0009532863808852654;2614619.779915659;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;2262.4011294119236;1291190.7780256737;0.0005812519420731897;1733719.7324496452;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;4782.4553483010395;1163179.2402335317;0.00041771432449174914;2254587.3296642094;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;8511.66554574904;3397650.9542843457;0.0005306787341163961;2919926.4035400148;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;472.49719451276087;3539789.2190955444;0.0006226345627193652;1301710.3301701676;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6167.413112410232;1700639.2804942336;0.0005362986441045029;2856010.2017139536;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3871.0872652588287;784387.8521993512;0.0003399508696977486;1990373.587188912;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4441.397650779266;2807239.0378330075;0.00048168349202212335;2454393.849670466;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;3437.8248055744034;2224068.1789903115;0.0004600620386302204;2584486.680991802;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;2721.663253987074;2513345.067794017;0.0004242303646030669;2111021.7912801397;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5209.874458247423;1576831.611551074;0.0003618950000917809;2728858.768758208;feMBB;yes
Smart City;0.0;0;0;0;no;yes;5438.462010201703;1307802.011802842;0.0006459199296886376;1717287.6412012153;umMTC;no
Smart City;0.0;0;0;0;no;yes;6114.288707855698;1840380.3792638918;0.0005785093784751761;1984442.5720266947;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;2192.0413637707006;2116192.8803597884;0.0005772007458398419;1485971.7623759357;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6456.974893741233;1512367.9101430476;0.00019126985243446095;1539426.1745540388;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6486.697289166264;2864433.6808616836;0.00043353349899522865;2127376.0329120406;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;5707.918728438048;841728.9625091366;0.0007083082158835274;2566441.580602521;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;4298.96746515541;2272839.334041932;0.0005655165702898397;1141969.5316065429;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;5514.500040170376;2084175.6332809182;0.0003060548266613872;2261730.475704244;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;4733.111646825598;2812547.53171248;0.000777820626108299;2782221.606875759;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6614.532463920013;1360484.978139123;9.593840211744091e-05;2879539.2233900954;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;4389.653927505016;2470553.0612450037;0.0005212585875963807;1923367.6224576074;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5180.522712722768;2318070.9728724626;0.0007859542588424609;1297891.3025943737;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;2103.586378715594;2162760.3065541573;0.0002386515985432924;2446159.0017295675;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;5509.282098685504;1408956.158755844;0.00042060226549188657;2295962.6258371472;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;3751.3675075672563;1484591.2042632918;0.00026566719243588995;1999172.0710719626;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5854.5249512313885;1802459.2117043524;0.0007352660940505347;1809452.076708089;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6314.410087930515;1664894.5966470453;0.00036347808785366584;2224446.497120327;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3983.980091999262;2840075.321149767;0.0006656996673340196;2280394.622808533;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5052.47530606245;2090372.3234336567;0.0007314800178133366;1726591.0866508707;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;5291.295769770204;2529840.406529092;0.0002858224497564293;1854692.2136181071;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5613.878209266879;1032556.204328335;0.0002507345382496485;1073235.7976532292;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;6316.7980664355855;772019.8358959025;0.0005798609880332227;2205434.4544421406;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;6098.742125409711;1881458.6730372307;0.0006292690498451261;2276414.2192090177;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;4367.412802970986;1147839.1779875914;0.000488249112511505;1180368.4319190613;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;7664.103494935314;2026586.6704513123;0.0005042641272175768;1929186.2243572043;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6253.687128955315;1437930.5733628194;0.0007466402682300314;1650862.290624217;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;7342.1731296880025;2204124.20370604;0.00046000654606444816;2760720.529229133;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5578.286754499303;1478108.8110200427;0.0007294028164658311;1155090.8711724381;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5676.774791221688;2374035.7421702463;0.00040394662357377933;2746472.174912727;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4805.201112834328;1412667.437946044;0.0008995942905388641;2847913.0953283645;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;4260.949831683581;757132.155409185;0.0003525236246579776;381402.9320973547;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;6625.901078810431;2568469.033301384;0.0006973549124933288;2428079.940866797;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5441.44027586493;1487515.0464478466;0.0003389233687288687;2337773.4288846776;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;4781.248851451927;2915002.4949248335;0.0006310989948881115;984816.2212532471;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;3296.295461045308;1572330.9959339364;0.0004987204803352947;1785322.3329008964;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;7592.100043590581;1451561.343262407;0.000546315849752157;1709895.6271340996;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5188.190286815178;1810650.00699021;0.0006109566611915548;1369063.7689201254;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;2956.1668250652847;1626410.1569242452;0.0005409951781086332;1575357.5979574102;feMBB;yes
Smart City;0.0;0;0;0;no;yes;5136.190539296568;2084112.5685899793;0.0005263045722985331;2566991.254314135;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;4665.666090405363;2268395.1004845523;0.0001903288322473945;2056217.9139738658;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;4597.29632415811;2369520.168979219;0.0007297631528653654;1604250.5631312593;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;5960.83695998528;1942849.1757079824;0.000754833502194005;1234607.909228255;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;4667.967387536512;999493.0929485778;0.00048224072051561494;2560492.2515621083;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4491.38582970786;3148959.866610147;0.0005928343941901191;3129003.4359879056;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;7270.947494108608;1753786.5066419265;0.0007276499156773963;1854125.3848515288;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2101.511635725908;1719011.930453435;0.0006002118887154294;1938969.3425794514;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4914.871383894188;1940747.7390010452;0.00041140448720704113;3702143.2131177615;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6548.431625787913;1825793.1670464512;0.0002998207828329352;2559207.8928108844;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;6045.282926079296;833965.5493320657;0.000605743400857676;2735192.9093609834;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;6700.410980695484;2383310.534284662;0.0005231865116181025;1617489.0056454982;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;8369.449537826691;1453052.980276303;0.0004990973813830946;1435852.0471808808;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;7831.803081196004;1784121.878953086;0.0003730408545608006;2857833.6124572824;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3074.8013993141894;3172893.230151297;0.0004431755061951462;2304769.0460310583;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;2316.2627570568575;2629658.7304836456;0.0005561229515959241;2127837.7928272523;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5545.199535763076;3074799.1095724646;0.00045093570767108874;2278695.982203467;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;2743.8628836842254;1548658.8004104965;0.0005054612410508876;3149886.294299576;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;1790.038877894905;2486691.053985168;0.0004948219580263359;1510367.1562682106;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5527.518722626333;2268842.101236703;0.0006095537646145189;2105652.39367818;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5945.481034921142;1963584.9532873067;0.00026060219681659587;1545202.6875694643;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;7852.1158858074305;1499602.7169243046;0.0004406637116735905;2185365.42145697;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;6281.090378139041;2723069.8935370296;0.00031635688866151325;2534147.7745505366;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;8199.44688326841;1657258.5702564185;0.0005259194909889742;2210366.7708419436;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5593.031049862408;2090855.7946554625;0.0003649952208253641;3155401.5683762794;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3106.9056472408506;2608742.6603397136;0.0006565807340394296;1656646.4115659373;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;6370.674729110011;1348849.1454671319;0.0004314706501163389;2364552.068199736;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;7224.132780349781;1274244.144206049;0.0004039680314915899;2851811.689687642;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5652.242149119635;3677403.7054531933;0.00036111758048264995;1747931.7500099675;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;7417.8423505153405;1426626.4781049779;0.0005418356103839335;1688463.058269511;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;4795.10268672521;3077823.808199566;0.00028844156395966636;1898200.6060809335;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;5910.240878672687;1964664.9463653127;0.0004844829516483267;1035692.287490118;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4709.975586443775;1716083.6553580498;0.00048060623344399006;2757297.5933933677;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;8965.176145063273;1782235.1150135365;0.00041298681240069956;2107345.195284528;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;6402.460933764299;1958522.575612417;0.0005364932073618342;874250.3259855248;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;3139.5108994364637;2891942.338732078;0.00042283459422013303;1715735.9755917569;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;8087.853681212954;2504067.532108096;0.0005474233297750494;2874404.504665711;umMTC;no
Smart City;0.0;0;0;0;no;yes;3778.6559326974125;1858924.3941908507;0.0004091778200224339;1781142.720536138;umMTC;no
Smart City;0.0;0;0;0;no;yes;5023.324316617638;756114.8915820641;0.0003760315568943755;3045982.5833933637;umMTC;no
Smart Home;0.0;0;0;0;no;yes;5780.923276243463;2013745.8200119429;0.0005426373283059883;1818062.4322698656;umMTC;no
Smart Home;0.0;0;0;0;no;yes;5917.061626076949;2088557.7731110044;0.0006345182850940692;1034481.7260156655;umMTC;no
Smart Home;0.0;0;0;0;no;yes;5806.623085443415;2839011.5352536;0.000976116022351666;587202.129028142;umMTC;no
Smart City;0.0;0;0;0;no;yes;3112.2796653518003;1019916.5831197157;0.00044329060219600524;3399336.1314685354;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5812.143219497657;1670991.4962236318;0.0006287222631320497;1452609.159070802;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;6834.726454236648;1649954.372635465;0.0004259141899081279;1607705.199322582;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;6786.761405985264;1962748.0063202032;0.0006260573330802905;1924564.5814111556;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;2831.0293130121795;2060696.4652917394;0.0007170192562305735;2166489.1942126467;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3907.8544730118674;2292273.35062461;0.0005214519665585157;1338978.0723212846;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3259.8046766062334;736761.3141400351;0.0006185715752548273;2852160.8246135884;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5566.798351168749;2115319.013516971;0.000574156072567395;2205004.3255234393;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2414.6789705511396;2163767.210467868;0.0005018515281457676;2818008.4269633265;MBRLLC;yes
